date,home_team,away_team,home_score,away_score,home_lineup,away_lineup
22.4.2016,Nice ,Reims ,2,0,"['Yoan Cardinale', 'Paul Baysse', 'Maxime Le Marchand', 'Ricardo Pereira', 'Jérémy Pied', 'Nampalys Mendy', 'Jean-Michaël Seri', 'Vincent Koziello', 'Hatem Ben Arfa', 'Alassane Pléa', 'Valère Germain']","['Johann Carrasso', 'Anthony Weber', 'Aissa Mandi', 'Antoine Conte', 'Atila Turan', 'Hamari Traoré', 'Hugo Rodriguez', 'Aly NDom', 'Antoine Devaux', 'Gaëtan Charbonnier', 'Nicolas de Préville']"
29.4.2016,Paris S-G ,Rennes ,4,0,"['Kevin Trapp', 'Thiago Silva', 'Marquinhos', 'Maxwell', 'Serge Aurier', 'Thiago Motta', 'Benjamin Stambouli', 'Ángel Di María', 'Javier Pastore', 'Zlatan Ibrahimovic', 'Edinson Cavani']","['Benoît Costil', 'Joris Gnagnon', 'Sylvain Armand', 'Mexer', 'Steven Moreira', 'Ludovic Baal', 'Yacouba Sylla', 'Gelson Fernandes', 'Pedro Henrique', 'Giovanni Sio', 'Ousmane Dembélé']"
30.4.2016,Nantes ,Nice ,1,0,"['Rémy Riou', 'Oswaldo Vizcarrondo', 'Koffi Djidji', 'Youssouf Sabaly', 'Léo Dubois', 'Birama Touré', 'Alejandro Bedoya', 'Guillaume Gillet', 'Adrien Thomasson', 'Yacine Bammou', 'Emiliano Sala']","['Yoan Cardinale', 'Gautier Lloris', 'Paul Baysse', 'Romain Genevois', 'Jérémy Pied', 'Rémi Walter', 'Nampalys Mendy', 'Jean-Michaël Seri', 'Vincent Koziello', 'Hatem Ben Arfa', 'Valère Germain']"
30.4.2016,Saint-Etienne ,Toulouse FC ,0,0,"['Stéphane Ruffier', 'Moustapha Bayal Sall', 'Loïc Perrin', 'K. Théophile-Catherine', 'Kévin Malcuit', 'Benoît Assou-Ekotto', 'Renaud Cohade', 'Jérémy Clément', 'Fabien Lemoine', 'Valentin Eysseric', 'Nolan Roux']","['Alban Lafont', 'Steeve Yago', 'Issa Diop', 'Pavle Ninkov', 'Marcel Tisserand', 'Alexis Blin', 'Etienne Didot', 'Adrien Regattin', 'Somalia', 'Martin Braithwaite', 'Wissam Ben Yedder']"
30.4.2016,Monaco ,Guingamp ,3,2,"['Danijel Subasic', 'Ricardo Carvalho', 'Andrea Raggi', 'Wallace', 'Fabinho', 'Tiémoué Bakayoko', 'João Moutinho', 'Bernardo Silva', 'Nabil Dirar', 'Lacina Traoré', 'Hélder Costa']","['Jonas Lössl', 'Jérémy Sorbon', 'Benjamin Angoua', 'Lars Jacobsen', 'Jonathan Martins Pereira', 'Julien Cardy', 'Younousse Sankharé', 'Marcus Coco', 'Yannis Salibur', 'Jimmy Briand', 'Mevlut Erding']"
30.4.2016,ESTAC Troyes ,Bordeaux ,2,4,"['Matthieu Dreyer', 'Rincon', 'Matthieu Saunier', 'Chris Mavinga', 'Aloïs Confais', 'Jessy Pi', 'Stéphane Darbion', 'Fabien Camus', 'Lossémy Karaboué', 'Benjamin Nivet', 'Corentin Jean']","['Jérôme Prior', 'Nicolas Pallois', 'Mathieu Debuchy', 'Maxime Poundjé', 'Frédéric Guilbert', 'Jaroslav Plasil', 'Valentín Vada', 'Malcom', 'Cheick Diabaté', 'Diego Rolán', 'Adam Ounas']"
30.4.2016,Lorient ,Lille ,0,1,"['Benjamin Lecomte', 'Wesley Lautoa', 'Pape Paye', 'Lamine Gassama', 'François Bellugou', 'Didier Ndong', 'Walid Mesloub', 'Romain Philippoteaux', 'Yann Jouffre', 'Benjamin Jeannot', 'Benjamin Moukandjo']","['Vincent Enyeama', 'Stoppila Sunzu', 'Adama Soumaoro', 'Ibrahim Amadou', 'Sébastien Corchia', 'Djibril Sidibé', 'Rio Mavuba', 'Mounir Obbadi', 'Sofiane Boufal', 'Morgan Amalfitano', 'Eder']"
30.4.2016,Caen ,Bastia ,0,0,"['Rémy Vercoutre', 'Alaeddine Yahia', 'Syam Ben Youssef', 'Dennis Appiah', 'Ismaël Diomandé', 'Jonathan Delaplace', 'Jeff Louis', 'Julien Féret', 'Vincent Bessat', 'Ronny Rodelin', 'Andy Delort']","['Jean-Louis Leca', 'Sébastien Squillaci', 'Alexander Djiku', 'François Modesto', 'Florian Marange', 'Yannick Cahuzac', 'Axel Ngando', 'Lassana Coulibaly', 'Gaël Danic', 'Christopher Maboulou', 'François Kamano']"
30.4.2016,Reims ,Montpellier ,2,3,"['Johann Carrasso', 'Aissa Mandi', 'Antoine Conte', 'Franck Signorino', 'Hamari Traoré', 'Jaba Kankava', 'Aly NDom', 'Hugo Rodriguez', 'Prince Oniangué', 'Gaëtan Charbonnier', 'Nicolas de Préville']","['Geoffrey Jourdren', 'William Rémy', 'Daniel Congré', 'Mathieu Deplagne', 'Jérôme Roussillon', 'Ellyes Skhiri', 'Jonas Martin', 'Bryan Dabo', 'Ryad Boudebouz', 'Casimir Ninga', 'Souleymane Camara']"
30.4.2016,Lyon ,Gazélec Ajaccio ,2,1,"['Anthony Lopes', 'Samuel Umtiti', 'Mapou Yanga-Mbiwa', 'Henri Bédimo', 'Maxwel Cornet', 'Rafael', 'Maxime Gonalons', 'Jordan Ferri', 'Corentin Tolisso', 'Rachid Ghezzal', 'Alexandre Lacazette']","['Clément Maury', 'Kader Mangane', 'Alassane Touré', 'Rodéric Filippi', 'Pablo Martinez', 'Issiaga Sylla', 'Louis Poggi', 'Damjan Djokovic', 'Amine Chermiti', 'John Tshibumbu', 'Jacques Zoua']"
1.5.2016,Angers ,Marseille ,0,1,"['Alexandre Letellier', 'Grégory Bourillon', 'Romain Thomas', 'Yoann Andreu', 'Arnold Bouka Moutou', 'Thomas Mangani', 'Romain Saïss', 'Cheikh Ndoye', 'Gilles Sunu', 'Billy Ketkeophomphone', 'Mohamed Yattara']","['Steve Mandanda', ""Nicolas N'Koulou"", 'Karim Rekik', 'Benjamin Mendy', 'Javier Manquillo', 'André Zambo Anguissa', 'Romain Alessandrini', 'Abdelaziz Barrada', 'Florian Thauvin', 'Michy Batshuayi', 'Steven Fletcher']"
7.5.2016,Bordeaux ,Lorient ,3,0,"['Jérôme Prior', 'Nicolas Pallois', 'Mathieu Debuchy', 'Diego Contento', 'Frédéric Guilbert', 'Jaroslav Plasil', 'Clément Chantôme', 'Malcom', 'Valentín Vada', 'Cheick Diabaté', 'Diego Rolán']","['Benjamin Lecomte', 'Hamadou Karamoko', 'Wesley Lautoa', 'Pape Paye', 'Lamine Gassama', 'François Bellugou', 'Didier Ndong', 'Maxime Barthelmé', 'Jimmy Cabot', 'Benjamin Moukandjo', 'Benjamin Jeannot']"
7.5.2016,Nantes ,Caen ,1,2,"['Rémy Riou', 'Koffi Djidji', 'Anthony Walongwa', 'Léo Dubois', 'Youssouf Sabaly', 'Rémi Gomis', 'Alejandro Bedoya', 'Guillaume Gillet', 'Adryan', 'Adrien Thomasson', 'Emiliano Sala']","['Rémy Vercoutre', 'Damien Da Silva', 'Syam Ben Youssef', 'Dennis Appiah', 'Nicolas Seube', 'Jonathan Delaplace', 'Jeff Louis', 'Julien Féret', 'Ronny Rodelin', 'Vincent Bessat', 'Andy Delort']"
7.5.2016,Gazélec Ajaccio ,Paris S-G ,0,4,"['Clément Maury', 'Alassane Touré', 'Kader Mangane', 'Alexandre Coeff', 'Rodéric Filippi', 'Pablo Martinez', 'David Ducourtioux', 'Issiaga Sylla', 'Jérôme Le Moigne', 'Jacques Zoua', 'Khalid Boutaïb']","['Kevin Trapp', 'David Luiz', 'Thiago Silva', 'Marquinhos', 'Layvin Kurzawa', 'Thiago Motta', 'Benjamin Stambouli', 'Christopher Nkunku', 'Ángel Di María', 'Edinson Cavani', 'Zlatan Ibrahimovic']"
7.5.2016,Lille ,Guingamp ,0,0,"['Vincent Enyeama', 'Marko Basa', 'Ibrahim Amadou', 'Renato Civelli', 'Sébastien Corchia', 'Djibril Sidibé', 'Florent Balmont', 'Mounir Obbadi', 'Morgan Amalfitano', 'Rony Lopes', 'Eder']","['Jonas Lössl', 'Christophe Kerbrat', 'Jérémy Sorbon', 'Jonathan Martins Pereira', 'Dorian Levêque', 'Moustapha Diallo', 'Younousse Sankharé', 'Marcus Coco', 'Thibault Giresse', 'Mevlut Erding', 'Jimmy Briand']"
