date,home_team,away_team,home_score,away_score,home_lineup,away_lineup
26-8-2017,Nantes ,Lyon ,0,0,"['Ciprian Tatarusanu', 'Andrei Girotto', 'Nicolas Pallois', 'Koffi Djidji', 'Diego Carlos', 'Léo Dubois', 'Abdoulaye Touré', 'Adrien Thomasson', 'Jules Iloki', 'Kalifa Coulibaly', 'Emiliano Sala']","['Anthony Lopes', 'Marcelo', 'Jérémy Morel', 'Maxwel Cornet', 'Ferland Mendy', 'Kenny Tete', 'Lucas Tousart', 'Jordan Ferri', 'Mariano', 'Bertrand Traoré', 'Nabil Fekir']"
26-8-2017,Amiens ,Nice ,3,0,"['Régis Gurtner', 'Khaled Adenon', 'Prince-Désir Gouano', 'Bakaye Dibassy', 'Julien Ielsch', 'Oualid El Hajjam', 'Thomas Monconduit', 'Tanguy Ndombele', 'Gaël Kakuta', 'Emmanuel Bourgaud', 'Moussa Konaté']","['Yoan Cardinale', 'Maxime Le Marchand', 'Dante', 'Christophe Jallet', 'Arnaud Souquet', 'Adrien Tameze', 'Rémi Walter', 'Vincent Koziello', 'Wesley Sneijder', 'Pierre Lees-Melou', 'Alassane Pléa']"
26-8-2017,Bordeaux ,ESTAC Troyes ,2,1,"['Benoît Costil', 'Jérémy Toulalan', 'Vukasin Jovanovic', 'Youssouf Sabaly', 'Théo Pellenard', 'Otávio', 'Lukas Lerager', 'Younousse Sankharé', 'Malcom', 'Jonathan Cafú', 'François Kamano']","['Mamadou Samassa', 'Oswaldo Vizcarrondo', 'Christophe Hérelle', 'Mathieu Deplagne', 'Charles Traoré', 'François Bellugou', 'Tristan Dingomé', 'Samuel Grandsir', 'Benjamin Nivet', 'Stéphane Darbion', 'Adama Niane']"
26-8-2017,Caen ,Metz ,1,0,"['Rémy Vercoutre', 'Damien Da Silva', 'Alexander Djiku', 'Frédéric Guilbert', 'Adama Mbengue', 'Durel Avounou', 'Youssef Aït Bennasser', 'Julien Féret', 'Christian Kouakou', 'Ronny Rodelin', 'Ivan Santini']","['Eiji Kawashima', 'Iván Balliu', 'Fallou Diagne', 'Milan Bisevac', 'Benoît Assou-Ekotto', 'Gerónimo Poblete', 'Renaud Cohade', 'Cafú', 'Ablie Jallow', 'Opa Nguette', 'Nolan Roux']"
26-8-2017,Dijon ,Montpellier ,2,1,"['Baptiste Reynet', 'Adam Lang', 'Cédric Yambéré', 'Oussama Haddadi', 'Fouad Chafik', 'Romain Amalfitano', 'Jordan Marié', 'Naïm Sliti', 'Chang-hoon Kwon', 'Benjamin Jeannot', 'Wesley Saïd']","['Benjamin Lecomte', 'Daniel Congré', 'Pedro Mendes', 'Nordi Mukiele', 'Jérôme Roussillon', 'Paul Lasne', 'Facundo Píriz', 'Keagan Dolly', 'Isaac Mbenza', 'Casimir Ninga', 'Giovanni Sio']"
26-8-2017,Toulouse FC ,Rennes ,3,2,"['Alban Lafont', 'Christopher Jullien', 'Issa Diop', 'Kelvin Amian', 'François Moubandje', 'Yannick Cahuzac', 'Jimmy Durmaz', 'Max-Alain Gradel', 'Ola Toivonen', 'Andy Delort', 'Somalia']","[""Raïs Ouahab M'Bolhi"", 'Joris Gnagnon', 'Mexer', 'Faitout Maouassa', 'Hamari Traoré', 'Ramy Bensebaini', 'Benjamin André', 'Benjamin Bourigeaud', 'Morgan Amalfitano', 'Ismaïla Sarr', 'Firmin Mubele']"
27-8-2017,Guingamp ,Strasbourg ,2,0,"['Karl-Johan Johnsson', 'Jérémy Sorbon', 'Christophe Kerbrat', 'Jonathan Martins Pereira', 'Jordan Ikoko', 'Lebogang Phiri', 'Moustapha Diallo', 'Marcus Coco', 'Marcus Thuram', 'Jimmy Briand', 'Yannis Salibur']","['Bingourou Kamara', 'Pablo Martinez', 'Yoann Salmier', 'Kader Mangane', 'Kenny Lala', 'Jean-Eudes Aholou', 'Jonas Martin', 'Benjamin Corgnet', 'Ihsan Sacko', 'Martin Terrier', 'Idriss Saadi']"
27-8-2017,Angers ,Lille ,1,1,"['Alexandre Letellier', 'Romain Thomas', 'Mateo Pavlovic', 'Vincent Manceau', 'Yoann Andreu', 'Thomas Mangani', 'Lassana Coulibaly', 'Baptiste Santamaria', 'Pierrick Capelle', 'Angelo Fulgini', 'Enzo Crivelli']","['Mike Maignan', 'Ibrahim Amadou', 'Junior Alonso', 'Edgar Ié', 'Kévin Malcuit', 'Thiago Maia', 'Yves Bissouma', 'Nicolas de Préville', 'Nicolas Pépé', 'Anwar El Ghazi', 'Luiz Araujo']"
27-8-2017,Monaco ,Marseille ,6,1,"['Danijel Subasic', 'Kamil Glik', 'Jemerson', 'Djibril Sidibé', 'Jorge', 'João Moutinho', 'Fabinho', 'Thomas Lemar', 'Rony Lopes', 'Radamel Falcao', 'Adama Diakhaby']","['Steve Mandanda', 'Doria', 'Rolando', 'Tomas Hubocan', 'Jordan Amavi', 'Hiroki Sakai', 'Luiz Gustavo', 'Morgan Sanson', 'Grégory Sertic', 'Florian Thauvin', 'Valère Germain']"
8-9-2017,Lille ,Bordeaux ,0,0,"['Mike Maignan', 'Junior Alonso', 'Ibrahim Amadou', 'Edgar Ié', 'Kévin Malcuit', 'Thiago Maia', 'Yves Bissouma', 'Nicolas Pépé', 'Yassine Benzia', 'Anwar El Ghazi', 'Luiz Araujo']","['Benoît Costil', 'Jérémy Toulalan', 'Vukasin Jovanovic', 'Youssouf Sabaly', 'Théo Pellenard', 'Otávio', 'Younousse Sankharé', 'Lukas Lerager', 'Malcom', 'François Kamano', 'Nicolas de Préville']"
